dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,hetero,CBCC_C=2,max,10,3,0,-1,0.8463444857496902,0.7848837209302325,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,3,0,-1,0.9045848822800495,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,3,0,-1,0.9467162329615861,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,3,1,-1,0.8463444857496902,0.7848837209302325,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,3,1,-1,0.9467162329615861,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,3,1,-1,0.9107806691449815,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,3,2,-1,0.8500619578686494,0.7790697674418605,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,3,2,-1,0.9380421313506815,0.9593023255813954,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,3,2,-1,0.9355638166047088,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,3,3,-1,0.8463444857496902,0.7848837209302325,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,3,3,-1,0.9491945477075588,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,3,3,-1,0.9454770755885997,0.9127906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,3,4,-1,0.872366790582404,0.7616279069767442,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,3,4,-1,0.919454770755886,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,3,4,-1,0.9058240396530359,0.9302325581395349,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,6,0,-1,0.9343246592317225,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,6,0,-1,0.942998760842627,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,6,0,-1,0.9987608426270136,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,6,1,-1,0.952912019826518,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,6,1,-1,0.9578686493184635,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,6,1,-1,0.9987608426270136,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,6,2,-1,0.9615861214374225,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,6,2,-1,0.9380421313506815,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,6,2,-1,0.966542750929368,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,6,3,-1,0.9615861214374225,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,6,3,-1,0.9913258983890955,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,6,3,-1,0.9913258983890955,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,6,4,-1,0.952912019826518,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,6,4,-1,0.9566294919454771,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,6,4,-1,0.9975216852540273,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,9,0,-1,0.9504337050805453,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,9,0,-1,0.9752168525402726,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,9,0,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,9,1,-1,0.9566294919454771,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,9,1,-1,0.9603469640644362,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,9,1,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,9,2,-1,0.9491945477075588,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,9,2,-1,0.9925650557620818,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,9,2,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,9,3,-1,0.9566294919454771,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,9,3,-1,0.9714993804213135,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,9,3,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,9,4,-1,0.9566294919454771,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,9,4,-1,0.9566294919454771,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,9,4,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,12,0,-1,0.9677819083023544,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,12,0,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,12,0,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,12,1,-1,0.9677819083023544,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,12,1,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,12,1,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,12,2,-1,0.9677819083023544,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,12,2,-1,0.9826517967781908,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,12,2,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,12,3,-1,0.9677819083023544,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,12,3,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,12,3,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,12,4,-1,0.9677819083023544,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,12,4,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,12,4,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,15,0,-1,0.9826517967781908,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,15,0,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,15,0,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,15,1,-1,0.9888475836431226,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,15,1,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,15,1,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,15,2,-1,0.9925650557620818,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,15,2,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,15,2,-1,0.9987608426270136,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,15,3,-1,0.9888475836431226,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,15,3,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,15,3,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,15,4,-1,0.9888475836431226,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,15,4,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,15,4,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,18,0,-1,0.9950433705080545,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,18,0,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,18,0,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,18,1,-1,0.9950433705080545,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,18,1,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,18,1,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,18,2,-1,0.9950433705080545,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,18,2,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,18,2,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,18,3,-1,0.9950433705080545,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,18,3,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,18,3,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,18,4,-1,0.9950433705080545,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,18,4,-1,0.9987608426270136,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,18,4,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,21,0,-1,0.2874845105328377,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,21,0,-1,0.2874845105328377,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,21,0,-1,0.2874845105328377,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,21,1,-1,0.2874845105328377,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,21,1,-1,0.2874845105328377,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=8,max,10,21,1,-1,0.2874845105328377,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=2,max,10,21,2,-1,0.2874845105328377,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,CBCC_C=4,max,10,21,2,-1,0.2874845105328377,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
