dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,hybrid,CBCC_C=2,max,10,6,0,-1,0.9281288723667905,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,max,10,6,0,-1,0.9553903345724907,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,max,10,6,0,-1,0.9591078066914498,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,max,10,6,1,-1,0.9281288723667905,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,max,10,6,1,-1,0.9368029739776952,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,max,10,6,1,-1,0.9541511771995044,0.9418604651162791,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,max,10,6,2,-1,0.9281288723667905,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,max,10,6,2,-1,0.9343246592317225,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,max,10,6,2,-1,0.9591078066914498,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,max,10,6,3,-1,0.919454770755886,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,max,10,6,3,-1,0.9392812887236679,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,max,10,6,3,-1,0.9591078066914498,0.9069767441860465,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,max,10,6,4,-1,0.9281288723667905,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,max,10,6,4,-1,0.9206939281288724,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=8,max,10,6,4,-1,0.9578686493184635,0.9011627906976745,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=2,max,10,12,0,-1,0.5811648079306072,0.13372093023255813,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,CBCC_C=4,max,10,12,0,-1,0.5576208178438662,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
