dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,homo,CBCC_C=2,mean,3,3,0,-1,0.851027397260274,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,mean,3,3,0,-1,0.8424657534246576,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,mean,3,3,0,-1,0.8407534246575342,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,mean,3,3,1,-1,0.851027397260274,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,mean,3,3,1,-1,0.8527397260273972,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,mean,3,3,1,-1,0.8424657534246576,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,mean,3,3,2,-1,0.851027397260274,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,mean,3,3,2,-1,0.8527397260273972,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,mean,3,3,2,-1,0.8527397260273972,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,mean,3,3,3,-1,0.851027397260274,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,mean,3,3,3,-1,0.8527397260273972,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,mean,3,3,3,-1,0.8407534246575342,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,mean,3,3,4,-1,0.851027397260274,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,mean,3,3,4,-1,0.851027397260274,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,mean,3,3,4,-1,0.8424657534246576,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,mean,3,6,0,-1,0.9195205479452054,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
