dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,hybrid,CBCC_M=2,+sigma,5,6,0,-1,0.9195205479452054,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_M=4,+sigma,5,6,0,-1,0.9075342465753424,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_M=8,+sigma,5,6,0,-1,0.964041095890411,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_M=2,+sigma,5,6,1,-1,0.9195205479452054,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_M=4,+sigma,5,6,1,-1,0.9537671232876712,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_M=8,+sigma,5,6,1,-1,0.9657534246575342,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_M=2,+sigma,5,6,2,-1,0.9195205479452054,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_M=4,+sigma,5,6,2,-1,0.9657534246575342,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_M=8,+sigma,5,6,2,-1,0.9657534246575342,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_M=2,+sigma,5,6,3,-1,0.9195205479452054,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_M=4,+sigma,5,6,3,-1,0.9657534246575342,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_M=8,+sigma,5,6,3,-1,0.9657534246575342,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_M=2,+sigma,5,6,4,-1,0.9195205479452054,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_M=4,+sigma,5,6,4,-1,0.958904109589041,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_M=8,+sigma,5,6,4,-1,0.9657534246575342,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_M=2,+sigma,5,12,0,-1,0.4486301369863014,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
