dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,hybrid,CBCC_C=2,-sigma,5,6,0,-1,0.8441780821917808,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,5,6,0,-1,0.8202054794520548,0.952054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,5,6,0,-1,0.8424657534246576,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,5,6,1,-1,0.8441780821917808,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,5,6,1,-1,0.8441780821917808,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,5,6,1,-1,0.8424657534246576,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,5,6,2,-1,0.8441780821917808,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,5,6,2,-1,0.8424657534246576,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,5,6,2,-1,0.8441780821917808,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,5,6,3,-1,0.8441780821917808,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,5,6,3,-1,0.8424657534246576,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,5,6,3,-1,0.8441780821917808,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,5,6,4,-1,0.8441780821917808,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,5,6,4,-1,0.8424657534246576,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,5,6,4,-1,0.8424657534246576,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,5,12,0,-1,0.2876712328767123,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,5,12,0,-1,0.2825342465753425,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,5,12,0,-1,0.2825342465753425,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,5,12,1,-1,0.2876712328767123,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,5,12,1,-1,0.2825342465753425,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,5,12,1,-1,0.2671232876712329,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,5,12,2,-1,0.2876712328767123,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,5,12,2,-1,0.2825342465753425,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,5,12,2,-1,0.273972602739726,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,5,12,3,-1,0.2825342465753425,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,5,12,3,-1,0.2825342465753425,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,5,12,3,-1,0.2671232876712329,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,5,12,4,-1,0.2876712328767123,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,5,12,4,-1,0.2825342465753425,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,5,12,4,-1,0.2825342465753425,0.9863013698630136,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,5,18,0,-1,0.2773972602739726,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,5,18,0,-1,0.2791095890410959,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,5,18,0,-1,0.2773972602739726,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,5,18,1,-1,0.2773972602739726,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,5,18,1,-1,0.2534246575342466,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,5,18,1,-1,0.2791095890410959,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,5,18,2,-1,0.2773972602739726,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,5,18,2,-1,0.2534246575342466,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,5,18,2,-1,0.2534246575342466,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,5,18,3,-1,0.2773972602739726,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,5,18,3,-1,0.2773972602739726,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,5,18,3,-1,0.2534246575342466,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,5,18,4,-1,0.2773972602739726,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,5,18,4,-1,0.2791095890410959,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,5,18,4,-1,0.2534246575342466,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,5,24,0,-1,0.008561643835616438,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,5,24,0,-1,0.008561643835616438,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,5,24,0,-1,0.008561643835616438,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,5,24,1,-1,0.008561643835616438,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,5,24,1,-1,0.0136986301369863,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,5,24,1,-1,0.0136986301369863,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,5,24,2,-1,0.008561643835616438,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,5,24,2,-1,0.008561643835616438,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,5,24,2,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,5,24,3,-1,0.008561643835616438,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,5,24,3,-1,0.008561643835616438,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,5,24,3,-1,0.0136986301369863,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,5,24,4,-1,0.008561643835616438,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,-sigma,5,24,4,-1,0.008561643835616438,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,-sigma,5,24,4,-1,0.0136986301369863,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,-sigma,5,30,0,-1,0.00684931506849315,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
