dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,hybrid,CBCC_C=2,mean,5,6,0,-1,0.809931506849315,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,mean,5,6,0,-1,0.8972602739726028,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,mean,5,6,0,-1,0.8955479452054794,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,mean,5,6,1,-1,0.7585616438356164,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,mean,5,6,1,-1,0.8955479452054794,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,mean,5,6,1,-1,0.8955479452054794,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,mean,5,6,2,-1,0.7585616438356164,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,mean,5,6,2,-1,0.9023972602739726,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,mean,5,6,2,-1,0.8955479452054794,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,mean,5,6,3,-1,0.809931506849315,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,mean,5,6,3,-1,0.9023972602739726,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,mean,5,6,3,-1,0.8955479452054794,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,mean,5,6,4,-1,0.7585616438356164,0.9794520547945206,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,mean,5,6,4,-1,0.8955479452054794,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,mean,5,6,4,-1,0.8972602739726028,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,mean,5,12,0,-1,0.4315068493150685,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,mean,5,12,0,-1,0.4708904109589041,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=8,mean,5,12,0,-1,0.4674657534246575,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=2,mean,5,12,1,-1,0.4366438356164384,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,CBCC_C=4,mean,5,12,1,-1,0.4297945205479452,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
