dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
tiny,hybrid,CBCC_C=2,-sigma,2,8,0,-1,0.404,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=4,-sigma,2,8,0,-1,0.4044,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=8,-sigma,2,8,0,-1,0.592,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=2,-sigma,2,8,1,-1,0.4044,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=4,-sigma,2,8,1,-1,0.5844,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=8,-sigma,2,8,1,-1,0.3228,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=2,-sigma,2,8,2,-1,0.404,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=4,-sigma,2,8,2,-1,0.97,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=8,-sigma,2,8,2,-1,0.392,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=2,-sigma,2,8,3,-1,0.4048,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=4,-sigma,2,8,3,-1,0.972,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=8,-sigma,2,8,3,-1,0.206,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=2,-sigma,2,8,4,-1,0.4056,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=4,-sigma,2,8,4,-1,0.4048,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=8,-sigma,2,8,4,-1,0.3184,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=2,-sigma,2,16,0,-1,0.5884,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=4,-sigma,2,16,0,-1,0.4352,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=8,-sigma,2,16,0,-1,0.3984,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=2,-sigma,2,16,1,-1,0.5952,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=4,-sigma,2,16,1,-1,0.4236,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=8,-sigma,2,16,1,-1,0.6752,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=2,-sigma,2,16,2,-1,0.5792,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=4,-sigma,2,16,2,-1,0.5956,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=8,-sigma,2,16,2,-1,0.3996,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=2,-sigma,2,16,3,-1,0.5688,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=4,-sigma,2,16,3,-1,0.5956,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=8,-sigma,2,16,3,-1,0.5952,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=2,-sigma,2,16,4,-1,0.4424,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=4,-sigma,2,16,4,-1,0.7936,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=8,-sigma,2,16,4,-1,0.3984,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=2,-sigma,2,24,0,-1,0.7996,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=4,-sigma,2,24,0,-1,0.7996,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=8,-sigma,2,24,0,-1,0.7996,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=2,-sigma,2,24,1,-1,0.7688,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=4,-sigma,2,24,1,-1,0.7996,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=8,-sigma,2,24,1,-1,0.7996,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=2,-sigma,2,24,2,-1,0.5996,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=4,-sigma,2,24,2,-1,0.7996,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=8,-sigma,2,24,2,-1,0.7996,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=2,-sigma,2,24,3,-1,0.722,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=4,-sigma,2,24,3,-1,0.7996,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=8,-sigma,2,24,3,-1,0.7992,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=2,-sigma,2,24,4,-1,0.7996,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=4,-sigma,2,24,4,-1,0.5996,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=8,-sigma,2,24,4,-1,0.7996,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=2,-sigma,2,32,0,-1,0.7996,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=4,-sigma,2,32,0,-1,0.7996,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=8,-sigma,2,32,0,-1,0.726,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=2,-sigma,2,32,1,-1,0.7996,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=4,-sigma,2,32,1,-1,0.7996,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=8,-sigma,2,32,1,-1,0.2,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=2,-sigma,2,32,2,-1,0.7996,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=4,-sigma,2,32,2,-1,0.7996,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=8,-sigma,2,32,2,-1,0.6532,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=2,-sigma,2,32,3,-1,0.7996,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=4,-sigma,2,32,3,-1,0.7996,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=8,-sigma,2,32,3,-1,0.484,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=2,-sigma,2,32,4,-1,0.7996,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,CBCC_C=4,-sigma,2,32,4,-1,0.7996,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
