dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,*,EMDS,*,5,0,0,-1,0.80545229244114,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,GLAD,*,5,0,0,-1,0.8029739776951673,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,OneCoinDS,*,5,0,0,-1,0.8029739776951673,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=1000),*,5,0,0,-1,0.8116480793060719,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=2000),*,5,0,0,-1,0.8116480793060719,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=3000),*,5,0,0,-1,0.8116480793060719,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,EMDS,*,5,0,1,-1,0.80545229244114,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,GLAD,*,5,0,1,-1,0.8029739776951673,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,OneCoinDS,*,5,0,1,-1,0.8029739776951673,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=1000),*,5,0,1,-1,0.8116480793060719,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=2000),*,5,0,1,-1,0.8116480793060719,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=3000),*,5,0,1,-1,0.8116480793060719,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,EMDS,*,5,0,2,-1,0.80545229244114,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,GLAD,*,5,0,2,-1,0.8029739776951673,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,OneCoinDS,*,5,0,2,-1,0.8029739776951673,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=1000),*,5,0,2,-1,0.8116480793060719,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=2000),*,5,0,2,-1,0.8116480793060719,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=3000),*,5,0,2,-1,0.8104089219330854,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,EMDS,*,5,0,3,-1,0.80545229244114,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,GLAD,*,5,0,3,-1,0.8029739776951673,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,OneCoinDS,*,5,0,3,-1,0.8029739776951673,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=1000),*,5,0,3,-1,0.8116480793060719,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=2000),*,5,0,3,-1,0.8116480793060719,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=3000),*,5,0,3,-1,0.8116480793060719,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,EMDS,*,5,0,4,-1,0.80545229244114,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,GLAD,*,5,0,4,-1,0.8029739776951673,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,OneCoinDS,*,5,0,4,-1,0.8029739776951673,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=1000),*,5,0,4,-1,0.8116480793060719,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=2000),*,5,0,4,-1,0.8116480793060719,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=3000),*,5,0,4,-1,0.8116480793060719,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
