dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
tiny,*,EMDS,*,2,0,0,-1,0.722,0.984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,GLAD,*,2,0,0,-1,0.7364,0.984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,OneCoinDS,*,2,0,0,-1,0.7256,0.982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,BDS(iter_sampling=1000),*,2,0,0,-1,0.7276,0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,BDS(iter_sampling=2000),*,2,0,0,-1,0.7268,0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,BDS(iter_sampling=3000),*,2,0,0,-1,0.7264,0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,EMDS,*,2,0,1,-1,0.722,0.984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,GLAD,*,2,0,1,-1,0.7364,0.984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,OneCoinDS,*,2,0,1,-1,0.7256,0.982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,BDS(iter_sampling=1000),*,2,0,1,-1,0.7272,0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,BDS(iter_sampling=2000),*,2,0,1,-1,0.7272,0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,BDS(iter_sampling=3000),*,2,0,1,-1,0.7276,0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,EMDS,*,2,0,2,-1,0.722,0.984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,GLAD,*,2,0,2,-1,0.7364,0.984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,OneCoinDS,*,2,0,2,-1,0.7256,0.982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,BDS(iter_sampling=1000),*,2,0,2,-1,0.7272,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,BDS(iter_sampling=2000),*,2,0,2,-1,0.7268,0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,BDS(iter_sampling=3000),*,2,0,2,-1,0.726,0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,EMDS,*,2,0,3,-1,0.722,0.984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,GLAD,*,2,0,3,-1,0.7364,0.984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,OneCoinDS,*,2,0,3,-1,0.7256,0.982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,BDS(iter_sampling=1000),*,2,0,3,-1,0.728,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,BDS(iter_sampling=2000),*,2,0,3,-1,0.7272,0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,BDS(iter_sampling=3000),*,2,0,3,-1,0.7268,0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,EMDS,*,2,0,4,-1,0.722,0.984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,GLAD,*,2,0,4,-1,0.7364,0.984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,OneCoinDS,*,2,0,4,-1,0.7256,0.982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,BDS(iter_sampling=1000),*,2,0,4,-1,0.7276,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,BDS(iter_sampling=2000),*,2,0,4,-1,0.7276,0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,*,BDS(iter_sampling=3000),*,2,0,4,-1,0.728,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
