dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,*,CBCC_M=2,*,3,0,0,-1,0.8102926337033299,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_M=4,*,3,0,0,-1,0.8102926337033299,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_M=8,*,3,0,0,-1,0.8102926337033299,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_M=2,*,3,0,1,-1,0.8102926337033299,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_M=4,*,3,0,1,-1,0.8102926337033299,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_M=8,*,3,0,1,-1,0.8102926337033299,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_M=2,*,3,0,2,-1,0.8102926337033299,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_M=4,*,3,0,2,-1,0.8102926337033299,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_M=8,*,3,0,2,-1,0.8102926337033299,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_M=2,*,3,0,3,-1,0.8102926337033299,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_M=4,*,3,0,3,-1,0.8102926337033299,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_M=8,*,3,0,3,-1,0.8102926337033299,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_M=2,*,3,0,4,-1,0.8102926337033299,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_M=4,*,3,0,4,-1,0.8102926337033299,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,CBCC_M=8,*,3,0,4,-1,0.8102926337033299,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
