dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,*,CBCC_C=2,*,10,0,0,-1,0.8066914498141264,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=4,*,10,0,0,-1,0.8079306071871127,0.8546511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=8,*,10,0,0,-1,0.8364312267657993,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=2,*,10,0,1,-1,0.8079306071871127,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=4,*,10,0,1,-1,0.8029739776951673,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=8,*,10,0,1,-1,0.8277571251548946,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=2,*,10,0,2,-1,0.8079306071871127,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=4,*,10,0,2,-1,0.8066914498141264,0.7848837209302325,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=8,*,10,0,2,-1,0.8166047087980174,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=2,*,10,0,3,-1,0.8079306071871127,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=4,*,10,0,3,-1,0.8426270136307311,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=8,*,10,0,3,-1,0.8302354399008675,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=2,*,10,0,4,-1,0.8079306071871127,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=4,*,10,0,4,-1,0.8066914498141264,0.7848837209302325,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,CBCC_C=8,*,10,0,4,-1,0.8351920693928129,0.8488372093023255,-1,-1,-1,-1,-1,-1,-1,-1,-1
